Heure;Source;IP_Source;Port_Source;Destination;IP_Dest;Port_Dest;Flags;Protocole
18:01:29;161.3.129.167.65203;161.3.129.167;65203;broadcasthost.gvcp;broadcasthost;gvcp;UDP;UDP
18:01:29;161.3.129.167.57151;161.3.129.167;57151;broadcasthost.gvcp;broadcasthost;gvcp;UDP;UDP
18:01:29;161.3.129.166.54911;161.3.129.166;54911;broadcasthost.gvcp;broadcasthost;gvcp;UDP;UDP
18:01:29;161.3.128.114.50908;161.3.128.114;50908;161.3.129.255.netbios-ns;161.3.129.255;netbios-ns;UDP;UDP
18:01:29;161.3.129.166.54908;161.3.129.166;54908;broadcasthost.gvcp;broadcasthost;gvcp;UDP;UDP
18:01:30;laspi-p15.univ-st-etienne.fr.61315;laspi-p15.univ-st-etienne.fr;61315;dcroa1.ujmse.local.domain;dcroa1.ujmse.local;domain;DNS;DNS
18:01:30;161.3.129.166.54912;161.3.129.166;54912;broadcasthost.gvcp;broadcasthost;gvcp;UDP;UDP
18:01:30;dcroa1.ujmse.local.domain;dcroa1.ujmse.local;domain;laspi-p15.univ-st-etienne.fr.61315;laspi-p15.univ-st-etienne.fr;61315;DNS;DNS
18:01:30;laspi-p15.univ-st-etienne.fr.53027;laspi-p15.univ-st-etienne.fr;53027;dcroa1.ujmse.local.domain;dcroa1.ujmse.local;domain;DNS;DNS
18:01:30;dcroa1.ujmse.local.domain;dcroa1.ujmse.local;domain;laspi-p15.univ-st-etienne.fr.53027;laspi-p15.univ-st-etienne.fr;53027;DNS;DNS
18:01:30;161.3.129.167.49466;161.3.129.167;49466;broadcasthost.gvcp;broadcasthost;gvcp;UDP;UDP
18:01:30;161.3.129.167.49846;161.3.129.167;49846;broadcasthost.gvcp;broadcasthost;gvcp;UDP;UDP
18:01:30;161.3.129.192.56208;161.3.129.192;56208;239.255.255.250.ssdp;239.255.255.250;ssdp;UDP;UDP
18:01:30;161.3.129.167.55753;161.3.129.167;55753;broadcasthost.gvcp;broadcasthost;gvcp;UDP;UDP
18:01:31;laspi-p15.univ-st-etienne.fr.62537;laspi-p15.univ-st-etienne.fr;62537;dcroa1.ujmse.local.domain;dcroa1.ujmse.local;domain;DNS;DNS
18:01:31;dcroa1.ujmse.local.domain;dcroa1.ujmse.local;domain;laspi-p15.univ-st-etienne.fr.62537;laspi-p15.univ-st-etienne.fr;62537;DNS;DNS
18:01:31;laspi-p15.univ-st-etienne.fr.60304;laspi-p15.univ-st-etienne.fr;60304;dcroa1.ujmse.local.domain;dcroa1.ujmse.local;domain;DNS;DNS
18:01:31;dcroa1.ujmse.local.domain;dcroa1.ujmse.local;domain;laspi-p15.univ-st-etienne.fr.60304;laspi-p15.univ-st-etienne.fr;60304;DNS;DNS
18:01:31;laspi-p15.univ-st-etienne.fr.52187;laspi-p15.univ-st-etienne.fr;52187;dcroa1.ujmse.local.domain;dcroa1.ujmse.local;domain;DNS;DNS
18:01:31;dcroa1.ujmse.local.domain;dcroa1.ujmse.local;domain;laspi-p15.univ-st-etienne.fr.52187;laspi-p15.univ-st-etienne.fr;52187;DNS;DNS
