Heure;Source;IP_Source;Port_Source;Destination;IP_Dest;Port_Dest;Flags;Protocole
11:42:04;BP-Linux8.ssh;BP-Linux8;ssh;192.168.190.130.50019;192.168.190.130;50019;P.;TCP
11:42:04;BP-Linux8.ssh;BP-Linux8;ssh;192.168.190.130.50019;192.168.190.130;50019;P.;TCP
11:42:04;BP-Linux8.ssh;BP-Linux8;ssh;192.168.190.130.50019;192.168.190.130;50019;P.;TCP
11:42:04;BP-Linux8.ssh;BP-Linux8;ssh;192.168.190.130.50019;192.168.190.130;50019;P.;TCP
11:42:04;192.168.190.130.50019;192.168.190.130;50019;BP-Linux8.ssh;BP-Linux8;ssh;.;TCP
11:42:04;192.168.190.130.50019;192.168.190.130;50019;BP-Linux8.ssh;BP-Linux8;ssh;.;TCP
11:42:04;192.168.190.130.50019;192.168.190.130;50019;BP-Linux8.ssh;BP-Linux8;ssh;.;TCP
11:42:04;192.168.190.130.50019;192.168.190.130;50019;BP-Linux8.ssh;BP-Linux8;ssh;.;TCP
11:42:05;BP-Linux8.58466;BP-Linux8;58466;ns1.lan.rt.domain;ns1.lan.rt;domain;DNS;DNS
11:42:05;ns1.lan.rt.domain;ns1.lan.rt;domain;BP-Linux8.58466;BP-Linux8;58466;DNS;DNS
11:42:06;192.168.190.130.50245;192.168.190.130;50245;BP-Linux8.ssh;BP-Linux8;ssh;P.;TCP
11:42:06;BP-Linux8.ssh;BP-Linux8;ssh;192.168.190.130.50245;192.168.190.130;50245;P.;TCP
11:42:06;BP-Linux8.53220;BP-Linux8;53220;ns1.lan.rt.domain;ns1.lan.rt;domain;DNS;DNS
11:42:06;ns1.lan.rt.domain;ns1.lan.rt;domain;BP-Linux8.53220;BP-Linux8;53220;DNS;DNS
11:42:06;BP-Linux8.ssh;BP-Linux8;ssh;192.168.190.130.50245;192.168.190.130;50245;P.;TCP
11:42:06;BP-Linux8.ssh;BP-Linux8;ssh;192.168.190.130.50245;192.168.190.130;50245;P.;TCP
11:42:06;190-0-175-100.gba.solunet.com.ar.2465;190-0-175-100.gba.solunet.com.ar;2465;184.107.43.74.http;184.107.43.74;http;S;TCP
11:42:06;190-0-175-100.gba.solunet.com.ar.2466;190-0-175-100.gba.solunet.com.ar;2466;184.107.43.74.http;184.107.43.74;http;S;TCP
11:42:06;190-0-175-100.gba.solunet.com.ar.2467;190-0-175-100.gba.solunet.com.ar;2467;184.107.43.74.http;184.107.43.74;http;S;TCP
11:42:06;190-0-175-100.gba.solunet.com.ar.2468;190-0-175-100.gba.solunet.com.ar;2468;184.107.43.74.http;184.107.43.74;http;S;TCP
11:42:06;190-0-175-100.gba.solunet.com.ar.2469;190-0-175-100.gba.solunet.com.ar;2469;184.107.43.74.http;184.107.43.74;http;S;TCP
11:42:06;190-0-175-100.gba.solunet.com.ar.2470;190-0-175-100.gba.solunet.com.ar;2470;184.107.43.74.http;184.107.43.74;http;S;TCP
